fid,gid,no,instl_pupr,administ,instl_dtl,lo,la,tot_camera,pixel,instl_de
802,802,802,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 대덕리 254-1,127.810925,36.816077,1,0,
803,803,803,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 256-3,127.7913,36.811252,1,0,
804,804,804,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 133-9,127.787889,36.814667,1,0,
805,805,805,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 235-27,127.797181,36.811757,1,0,
806,806,806,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 문광면 문법리 242,127.761592,36.791764,1,0,
807,807,807,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 문광면 문법리 323-1,127.760726,36.793431,1,0,
808,808,808,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 문광면 흑석리 산12-6,127.813346,36.734643,1,0,
809,809,809,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 사리면 방축리 19-2,127.656821,36.812197,1,0,
810,810,810,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 청천면 월문리 250-3,127.745203,36.693727,1,0,
811,811,811,쓰레기단속,충청북도 괴산군청,충청북도 괴산군 칠성면 율원리 151,127.856599,36.769858,1,0,
812,812,812,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 도정리 236-17,127.864346,36.787887,1,0,
813,813,813,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 율원리 498,127.855503,36.776165,1,0,
814,814,814,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 율원리 1240,127.861548,36.780517,1,0,
815,815,815,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 율지리 345-4,127.861795,36.776767,2,0,
816,816,816,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 적석리 산11-5,127.984899,36.765314,1,0,
817,817,817,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 적석리 27-49,127.986572,36.765294,1,0,
818,818,818,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 778-43,127.987189,36.765431,1,0,
819,819,819,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 823-2,127.989423,36.766681,1,0,
820,820,820,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 765-9,127.986072,36.768638,1,0,
821,821,821,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 745-4,127.986211,36.76764,1,0,
822,822,822,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 248-7,127.799367,36.812431,2,0,
823,823,823,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 456-53,127.796958,36.813229,1,0,
824,824,824,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 귀만리 484,127.757104,36.639692,1,0,
825,825,825,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 귀만리 465-8,127.745769,36.628339,1,0,
826,826,826,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 귀만리 193-3,127.751474,36.638668,1,0,
827,827,827,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 평단리 283,127.765372,36.627357,1,0,
828,828,828,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 평단리 385,127.760878,36.620853,1,0,
829,829,829,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 덕평리 167-4,127.806236,36.728875,1,0,
830,830,830,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 덕평리 151-2,127.804625,36.732813,1,0,
831,831,831,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 덕평리 69-5,127.811648,36.732439,1,0,
832,832,832,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 매전리 97-2,127.91127,36.824364,1,0,
833,833,833,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 매전리 1018-1,127.918052,36.82628,1,0,
834,834,834,어린이보호,충청북도 괴산군청,충청북도 괴산군 청천면 송면리 116-10,127.861599,36.674109,2,0,
835,835,835,어린이보호,충청북도 괴산군청,충청북도 괴산군 청안면 읍내리 229-1,127.640267,36.772553,2,0,
836,836,836,어린이보호,충청북도 괴산군청,충청북도 괴산군 청안면 읍내리 286,127.640366,36.77343,2,0,
837,837,837,어린이보호,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 482,127.64838,36.817266,1,0,
838,838,838,어린이보호,충청북도 괴산군청,충청북도 괴산군 불정면 목도리 468-3,127.852239,36.874599,2,0,
839,839,839,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-56,127.794284,36.808932,2,0,
840,840,840,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-61,127.794181,36.808772,2,0,
841,841,841,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-4,127.794013,36.808437,2,0,
842,842,842,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-92,127.793008,36.808813,4,0,
843,843,843,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-30,127.793316,36.809382,4,0,
844,844,844,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-76,127.793477,36.808703,2,0,
845,845,845,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-23,127.79378,36.809195,2,0,
846,846,846,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-9,127.793941,36.809365,1,0,
847,847,847,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 590-2 일대,127.794574,36.810588,4,0,
848,848,848,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 181-15,127.728726,36.707905,1,0,
849,849,849,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 181-14,127.729134,36.707271,1,0,
850,850,850,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 157-15,127.730764,36.707321,1,0,
851,851,851,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 160-3,127.730433,36.706775,1,0,
852,852,852,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 190-12,127.730482,36.706021,1,0,
853,853,853,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 216-2,127.731412,36.703468,1,0,
854,854,854,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 66-5,127.738007,36.697912,1,0,
855,855,855,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 61-3,127.737268,36.696924,1,0,
856,856,856,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 신흥리 238,127.80463,36.870973,1,0,
857,857,857,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 신흥리 567-2,127.798633,36.87158,1,0,
858,858,858,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 신흥리 285,127.807198,36.867581,1,0,
859,859,859,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 신흥리 5-3,127.812518,36.864312,1,0,
860,860,860,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 삼송리 450-1,127.880159,36.656224,1,0,
861,861,861,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 이평리 374-5,127.876626,36.662001,1,0,
862,862,862,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 270,127.656217,36.821779,1,0,
863,863,863,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 355-1,127.654796,36.819987,1,0,
864,864,864,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 562-1,127.646982,36.820069,1,0,
865,865,865,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 383-7,127.655264,36.816685,1,0,
866,866,866,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 507-2,127.648583,36.815994,1,0,
867,867,867,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 500,127.647547,36.815207,1,0,
868,868,868,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 417,127.651983,36.816093,1,0,
869,869,869,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 957-7,127.650431,36.814546,1,0,
870,870,870,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 방축리 768-101,127.648757,36.814691,1,0,
871,871,871,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 방축리 274,127.651787,36.81275,1,0,
872,872,872,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 사담리 383-3,127.654101,36.816604,1,0,
873,873,873,생활방범,충청북도 괴산군청,충청북도 괴산군 문광면 광덕리 1000-99,127.784632,36.790201,2,0,
874,874,874,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 673-3,127.847466,36.831304,1,0,
875,875,875,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 674-7,127.847522,36.831545,2,0,
876,876,876,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 679-1,127.848433,36.830006,2,0,
877,877,877,어린이보호,충청북도 괴산군청,충청북도 괴산군 청안면 읍내리 221-4,127.638551,36.772634,1,0,
878,878,878,어린이보호,충청북도 괴산군청,충청북도 괴산군 청안면 읍내리 216-6,127.640086,36.771464,2,0,
879,879,879,차량방범,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 291-2,128.003181,36.76705,3,0,
880,880,880,차량방범,충청북도 괴산군청,충청북도 괴산군 장연면 광진리 1137,127.940298,36.884195,2,0,
881,881,881,차량방범,충청북도 괴산군청,충청북도 괴산군 장연면 추점리 산20-5,127.950645,36.862563,2,0,
882,882,882,차량방범,충청북도 괴산군청,충청북도 괴산군 불정면 앵천리 521-2,127.799315,36.900501,2,0,
883,883,883,차량방범,충청북도 괴산군청,충청북도 괴산군 청원군 미원면 구방리 139-2,127.707493,36.674231,2,0,
884,884,884,차량방범,충청북도 괴산군청,충청북도 괴산군 청천면 사담리 산9-31,127.808133,36.621651,2,0,
885,885,885,차량방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 878,127.789019,36.801227,1,0,
886,886,886,차량방범,충청북도 괴산군청,충청북도 괴산군 충주시 수안보면 화천리 534,128.023113,36.815293,1,0,
887,887,887,차량방범,충청북도 괴산군청,충청북도 괴산군 청천면 금평리 194-3,127.759615,36.676146,1,0,
888,888,888,차량방범,충청북도 괴산군청,충청북도 괴산군 문경시 가은읍 완장리 570-2,127.925418,36.69038,1,0,
889,889,889,차량방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 산69-2,127.788548,36.801145,2,0,
890,890,890,차량방범,충청북도 괴산군청,충청북도 괴산군 연풍면 주진리 125,128.013284,36.753962,1,0,
891,891,891,차량방범,충청북도 괴산군청,충청북도 괴산군 문광면 신기리 581-1,127.753289,36.767237,2,0,
892,892,892,차량방범,충청북도 괴산군청,충청북도 괴산군 청안면 문당리 901-2,127.668955,36.740591,2,0,
893,893,893,차량방범,충청북도 괴산군청,충청북도 괴산군 불정면 삼방리 804-3,127.785118,36.920214,2,0,
894,894,894,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 신기리 176-4,127.799162,36.8456,2,0,
895,895,895,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 647-4,127.794707,36.808088,1,0,
896,896,896,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 대사리 85-2,127.780757,36.794444,1,0,
897,897,897,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 대사리 40-3,127.784897,36.796583,2,0,
898,898,898,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 506-2,127.78901,36.806451,1,0,
899,899,899,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 819-8,127.788418,36.805693,2,0,
900,900,900,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 신항리 576-3,127.773183,36.853797,1,0,
901,901,901,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 252-7,127.791464,36.81145,1,0,
902,902,902,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 대덕리 338-1,127.809232,36.820442,1,0,
903,903,903,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 522-4,127.856618,36.832731,1,0,
904,904,904,생활방범,충청북도 괴산군청,충청북도 괴산군 장연면 오가리 258-2,127.954888,36.828488,1,0,
905,905,905,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 원풍리 455-1,128.016355,36.785942,1,0,
906,906,906,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 유하리 481-2,127.975165,36.777561,2,0,
907,907,907,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 율지리 89,127.872069,36.782181,2,0,
908,908,908,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 율지리 312,127.867007,36.773871,1,0,
909,909,909,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 율지리 260-4,127.868971,36.773226,1,0,
910,910,910,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 사은리 288-7,127.838617,36.747044,1,0,
911,911,911,생활방범,충청북도 괴산군청,충청북도 괴산군 문광면 문법리 1067-1,127.760492,36.788098,1,0,
912,912,912,생활방범,충청북도 괴산군청,충청북도 괴산군 문광면 흑석리 302-2,127.810417,36.739671,1,0,
913,913,913,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 청천리 62-29,127.738684,36.659545,1,0,
914,914,914,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 삼송리 651-1,127.881701,36.66422,1,0,
915,915,915,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 삼송리 81,127.888877,36.66036,1,0,
916,916,916,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 삼송리 48-1,127.890718,36.661352,1,0,
917,917,917,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 후영리 산32-5,127.79532,36.684498,1,0,
918,918,918,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 덕평리 241-23,127.799831,36.730204,1,0,
919,919,919,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 장암리 152-1,127.716122,36.752224,1,0,
920,920,920,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 687-10,127.849383,36.830752,3,0,
921,921,921,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 521-14,127.855168,36.832963,1,0,
922,922,922,생활방범,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 528-2,127.855238,36.833695,2,0,
923,923,923,생활방범,충청북도 괴산군청,충청북도 괴산군 소수면 수리 1344,127.74633,36.853965,2,0,
924,924,924,생활방범,충청북도 괴산군청,충청북도 괴산군 소수면 수리 598-6,127.745412,36.85565,4,0,
925,925,925,생활방범,충청북도 괴산군청,충청북도 괴산군 소수면 수리 610-1,127.744738,36.856834,3,0,
926,926,926,생활방범,충청북도 괴산군청,충청북도 괴산군 소수면 수리 610-3,127.744425,36.856822,3,0,
927,927,927,생활방범,충청북도 괴산군청,충청북도 괴산군 소수면 수리 1136,127.736769,36.862985,1,0,
928,928,928,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 대전리 602,127.780135,36.73366,1,0,
929,929,929,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 대전리 606,127.782347,36.732934,1,0,
930,930,930,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 대전리 607,127.783598,36.732957,1,0,
931,931,931,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 대전리 612,127.784796,36.732593,1,0,
932,932,932,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 대전리 363-11,127.786742,36.731853,1,0,
933,933,933,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 대전리 616-2,127.78734,36.731503,1,0,
934,934,934,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 화산리 779-2,127.734443,36.801128,2,0,
935,935,935,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 화산리 159-2,127.731811,36.802588,2,0,
936,936,936,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 화산리 55-2,127.735451,36.804559,3,0,
937,937,937,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 1-1,127.927658,36.690475,1,0,
938,938,938,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 39-1,127.924663,36.692701,1,0,
939,939,939,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 46-2,127.924713,36.692118,1,0,
940,940,940,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 63,127.920477,36.692412,1,0,
941,941,941,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 168-5,127.907697,36.692859,1,0,
942,942,942,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 545,127.897323,36.694043,1,0,
943,943,943,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 462,127.8939,36.693749,1,0,
944,944,944,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 473,127.892862,36.693042,1,0,
945,945,945,생활방범,충청북도 괴산군청,충청북도 괴산군 청천면 관평리 504-1,127.881141,36.685193,1,0,
946,946,946,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 제월리 317,127.825923,36.821281,3,0,
947,947,947,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 450-7,127.794718,36.813371,1,0,
948,948,948,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 삼풍리 162,127.99802,36.764816,2,0,
949,949,949,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 삼풍리 162,127.998248,36.764971,1,0,
950,950,950,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 삼풍리 162,127.998605,36.765089,2,0,
951,951,951,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 삼풍리 162,127.998883,36.765188,1,0,
952,952,952,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 590,127.997549,36.76289,2,0,
953,953,953,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 590,127.997544,36.76266,1,0,
954,954,954,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 590,127.997378,36.76276,2,0,
955,955,955,시설물관리,충청북도 괴산군청,충청북도 괴산군 연풍면 행촌리 590,127.997488,36.762752,1,0,
956,956,956,시설물관리,충청북도 괴산군청,충청북도 괴산군 청천면 화양리 393-2,127.811307,36.668968,5,0,
957,957,957,시설물관리,충청북도 괴산군청,충청북도 괴산군 청천면 화양동길 205,127.813437,36.668683,1,0,
958,958,958,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 제월리 59-13,127.831234,36.817239,1,0,
959,959,959,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 능촌리 산4,127.84342,36.836277,1,0,
960,960,960,시설물관리,충청북도 괴산군청,충청북도 괴산군 칠성면 사은리 산5-23,127.837793,36.738869,1,0,
961,961,961,시설물관리,충청북도 괴산군청,충청북도 괴산군 칠성면 사은리 산5-23,127.837738,36.739144,1,0,
962,962,962,시설물관리,충청북도 괴산군청,충청북도 괴산군 칠성면 사은리 산54-1,127.836441,36.740031,1,0,
963,963,963,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 부흥리 531-1,127.723921,36.715189,1,0,
964,964,964,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 장암리 458-3,127.707536,36.772103,2,0,
965,965,965,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 중흥리 693-43,127.651002,36.837342,1,0,
966,966,966,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 수암리 578-2,127.689363,36.804199,1,0,
967,967,967,생활방범,충청북도 괴산군청,충청북도 괴산군 소수면 원소로 865,127.716628,36.840921,1,0,
968,968,968,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 삼방리 120-2,127.80498,36.932357,1,0,
969,969,969,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 목도리 272-16,127.854478,36.872382,1,0,
970,970,970,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 661-76,127.793505,36.808791,2,0,
971,971,971,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 270-16,127.790642,36.809488,1,0,
972,972,972,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 605-1,127.794219,36.810628,1,0,
973,973,973,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 578-11,127.795077,36.810005,2,0,
974,974,974,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 506-5,127.789325,36.806587,2,0,
975,975,975,생활방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 192-6,127.796429,36.810099,3,0,
976,976,976,생활방범,충청북도 괴산군청,충청북도 괴산군 장연면 송덕리 599-1,127.928938,36.790192,1,0,
977,977,977,생활방범,충청북도 괴산군청,충청북도 괴산군 연풍면 갈금리 231,127.958136,36.778349,1,0,
978,978,978,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 쌍곡리 107,127.897285,36.753874,1,0,
979,979,979,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 쌍곡리 118-15,127.900631,36.748009,1,0,
980,980,980,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 두천리 261-2,127.833161,36.794756,1,0,
981,981,981,생활방범,충청북도 괴산군청,충청북도 괴산군 칠성면 두천리 411,127.828895,36.797637,1,0,
982,982,982,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 효근리 265-2,127.656583,36.767249,2,0,
983,983,983,생활방범,충청북도 괴산군청,충청북도 괴산군 청안면 청용리 469-2,127.633721,36.792749,1,0,
984,984,984,생활방범,충청북도 괴산군청,충청북도 괴산군 사리면 화산리 190-4,127.729301,36.803707,2,0,
985,985,985,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 탑촌리 65-6,127.838078,36.894587,1,0,
986,986,986,생활방범,충청북도 괴산군청,충청북도 괴산군 불정면 하문리 144-1,127.878875,36.871962,1,0,
987,987,987,차량방범,충청북도 괴산군청,충청북도 괴산군 괴산읍 대덕리 85-2,127.819535,36.806504,2,0,
988,988,988,차량방범,충청북도 괴산군청,충청북도 괴산군 연풍면 적석리 46-1,127.983407,36.763932,2,0,
989,989,989,차량방범,충청북도 괴산군청,충청북도 괴산군 장연면 방곡리 273-9,127.924149,36.861917,2,0,
990,990,990,차량방범,충청북도 괴산군청,충청북도 괴산군 청천면 선평리 산8-4,127.733369,36.653954,1,0,
991,991,991,차량방범,충청북도 괴산군청,충청북도 괴산군 사리면 노송리 207-5,127.652329,36.848388,1,0,
992,992,992,차량방범,충청북도 괴산군청,충청북도 괴산군 소수면 옥현리 430-1,127.691485,36.87396,1,0,
993,993,993,차량방범,충청북도 괴산군청,충청북도 괴산군 불정면 삼방리 428-3,127.801647,36.93816,1,0,
994,994,994,차량방범,충청북도 괴산군청,충청북도 괴산군 불정면 창산리 산8-3,127.846866,36.893292,1,0,
995,995,995,차량방범,충청북도 괴산군청,충청북도 괴산군 불정면 외령리 60-1,127.838982,36.921154,1,0,
996,996,996,어린이보호,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 366-3,127.787915,36.808808,3,0,
997,997,997,어린이보호,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 335-2,127.787656,36.809638,3,0,
998,998,998,어린이보호,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 508-3,127.790812,36.806496,2,0,
999,999,999,어린이보호,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 690-7,127.791896,36.806247,3,0,
1000,1000,1000,어린이보호,충청북도 괴산군청,충청북도 괴산군 감물면 오성리 78-11,127.873198,36.837129,2,0,
1001,1001,1001,어린이보호,충청북도 괴산군청,충청북도 괴산군 장연면 오가리 507,127.953502,36.823792,3,0,
1002,1002,1002,어린이보호,충청북도 괴산군청,충청북도 괴산군 연풍면 삼풍리 166-1,127.996358,36.762814,2,0,
1003,1003,1003,어린이보호,충청북도 괴산군청,충청북도 괴산군 칠성면 도정리 153-2,127.86309,36.78481,2,0,
1004,1004,1004,어린이보호,충청북도 괴산군청,충청북도 괴산군 문광면 광덕리 295-6,127.782469,36.790478,2,0,
1005,1005,1005,어린이보호,충청북도 괴산군청,충청북도 괴산군 청천면 청천리 110,127.736933,36.66157,3,0,
1006,1006,1006,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 664-15,127.792594,36.808703,5,0,
1007,1007,1007,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 628-3,127.793213,36.809712,5,0,
1008,1008,1008,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 623-4,127.793714,36.810716,5,0,
1009,1009,1009,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 633-3,127.794567,36.809249,5,0,
1010,1010,1010,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 645-7,127.79415,36.808179,5,0,
1011,1011,1011,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 652-3,127.793601,36.80723,5,0,
1012,1012,1012,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 193-2,127.797641,36.809359,5,0,
1013,1013,1013,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 220-5,127.791671,36.812779,1,0,
1014,1014,1014,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 478-37,127.793381,36.8125,1,0,
1015,1015,1015,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 472-2,127.795705,36.812322,1,0,
1016,1016,1016,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 721,127.794712,36.8062,1,0,
1017,1017,1017,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 719,127.793798,36.805538,1,0,
1018,1018,1018,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 710-7,127.793541,36.805125,1,0,
1019,1019,1019,시설물관리,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 751-20,127.793871,36.806383,1,0,
1020,1020,1020,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 719,127.793951,36.805445,3,0,
1021,1021,1021,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 703-3,127.793162,36.806938,3,0,
1022,1022,1022,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 667-32,127.791855,36.809069,3,0,
1023,1023,1023,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 226-37,127.792813,36.812532,3,0,
1024,1024,1024,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 780-1,127.795876,36.812171,3,0,
1025,1025,1025,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 235-1,127.797119,36.811894,3,0,
1026,1026,1026,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 동부리 202-12,127.797654,36.810853,3,0,
1027,1027,1027,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 366-3,127.787916,36.808696,3,0,
1028,1028,1028,교통단속,충청북도 괴산군청,충청북도 괴산군 괴산읍 서부리 508-3,127.790803,36.806486,3,0,
1029,1029,1029,재난재해,충청북도 괴산군청,충청북도 괴산군 청천면 화양리 65-1,127.785802,36.683812,1,0,
1030,1030,1030,재난재해,충청북도 괴산군청,충청북도 괴산군 청천면 고성리 산91-1,127.753721,36.65975,1,0,
1031,1031,1031,재난재해,충청북도 괴산군청,충청북도 괴산군 청천면 지촌리 408,127.81468,36.707519,1,0,
